player,total_runs,balls_faced,strike_rate
F Behardien,14,13,107.69
Kartik Tyagi,13,16,81.25
DT Patil,13,13,100.0
DR Shorey,13,20,65.0
S Badree,13,25,52.0
Arjun Tendulkar,13,9,144.44
Noor Ahmad,13,18,72.22
Mustafizur Rahman,13,23,56.52
R Sai Kishore,13,6,216.67
KJ Abbott,13,8,162.5
T Thushara,12,19,63.16
AA Chavan,12,11,109.09
Mujeeb Ur Rahman,12,15,80.0
DG Nalkande,12,12,100.0
AR Bawne,12,12,100.0
K Upadhyay,12,9,133.33
MA Wood,12,10,120.0
Karanveer Singh,12,17,70.59
DAJ Bracewell,12,9,133.33
T Henderson,11,16,68.75
T Kohli,11,20,55.0
RA Bawa,11,14,78.57
M Ntini,11,19,57.89
DNT Zoysa,11,9,122.22
RK Bhui,10,27,37.04
TD Paine,10,29,34.48
D du Preez,10,13,76.92
AG Murtaza,10,14,71.43
Mukesh Kumar,10,20,50.0
SMSM Senanayake,10,17,58.82
X Thalaivan Sargunam,10,17,58.82
J Theron,10,13,76.92
KAJ Roach,10,9,111.11
JE Root,10,15,66.67
BB Sran,10,14,71.43
SM Harwood,9,14,64.29
M Prasidh Krishna,9,24,37.5
VG Arora,9,17,52.94
AA Noffke,9,12,75.0
L Wood,9,3,300.0
K Kartikeya,9,13,69.23
AA Kulkarni,9,8,112.5
D Ferreira,8,11,72.73
P Chopra,8,6,133.33
OC McCoy,8,5,160.0
CK Langeveldt,8,9,88.89
CJ McKay,8,15,53.33
TS Mills,8,14,57.14
TM Srivastava,8,11,72.73
JPR Scantlebury-Searles,8,6,133.33
Jaskaran Singh,8,11,72.73
I Malhotra,7,4,175.0
V Viyaskanth,7,5,140.0
VS Malik,7,7,100.0
IS Sodhi,7,18,38.89
M Theekshana,7,7,100.0
Simarjeet Singh,7,8,87.5
AN Ghosh,7,8,87.5
Pankaj Singh,7,12,58.33
Ankit Soni,7,9,77.78
UA Birla,7,15,46.67
PSP Handscomb,6,12,50.0
Mukesh Choudhary,6,6,100.0
DM Bravo,6,5,120.0
SH Johnson,6,7,85.71
SS Shaikh,6,7,85.71
SB Joshi,6,16,37.5
JP Behrendorff,6,9,66.67
BA Bhatt,6,7,85.71
KMDN Kulasekara,5,3,166.67
B Laughlin,5,13,38.46
B Stanlake,5,2,250.0
Shivam Sharma,5,3,166.67
P Awana,5,14,35.71
SJ Srivastava,5,5,100.0
Arshad Khan (2),5,4,125.0
Akash Madhwal,4,5,80.0
VRV Singh,4,3,133.33
FH Edwards,4,5,80.0
CRD Fernando,4,3,133.33
Liton Das,4,4,100.0
A Tomar,4,8,50.0
A Uniyal,4,7,57.14
A Dananjaya,4,5,80.0
GD McGrath,4,5,80.0
A Chandila,4,7,57.14
DP Nannes,4,13,30.77
RS Sodhi,4,2,200.0
T Natarajan,3,5,60.0
Younis Khan,3,7,42.86
RJW Topley,3,6,50.0
Fazalhaq Farooqi,3,13,23.08
S Tyagi,3,4,75.0
Mohammad Asif,3,6,50.0
GC Viljoen,3,7,42.86
R Ninan,3,6,50.0
Kumar Kushagra,3,7,42.86
BAW Mendis,3,6,50.0
Kamran Khan,3,5,60.0
D Kalyankrishna,3,8,37.5
JE Taylor,3,4,75.0
Mohammad Ashraful,2,12,16.67
SB Wagh,2,3,66.67
Shivam Singh,2,3,66.67
VS Yeligati,2,2,100.0
GHS Garton,2,4,50.0
RG More,2,2,100.0
RJ Gleeson,2,2,100.0
H Das,2,5,40.0
T Shamsi,2,4,50.0
Shoaib Akhtar,2,8,25.0
RS Gavaskar,2,8,25.0
BR Sharath,2,5,40.0
Mashrafe Mortaza,2,2,100.0
KP Appanna,2,4,50.0
Harshit Rana,2,3,66.67
A Kamboj,2,2,100.0
S Randiv,2,4,50.0
A Singh,2,10,20.0
Mohit Rathee,1,2,50.0
HF Gurney,1,5,20.0
NJ Rimmington,1,1,100.0
MJ Suthar,1,2,50.0
Shoaib Ahmed,1,6,16.67
SE Bond,1,2,50.0
P Parameswaran,1,3,33.33
KA Maharaj,1,2,50.0
KK Ahmed,1,7,14.29
Abdul Basith,1,1,100.0
BE Hendricks,1,3,33.33
SZ Mulani,1,1,100.0
DP Vijaykumar,1,1,100.0
DJ Muthuswami,1,3,33.33
LB Williams,1,2,50.0
M de Lange,1,2,50.0
LE Plunkett,1,3,33.33
PM Sarvesh Kumar,1,2,50.0
K Yadav,0,4,0.0
Y Prithvi Raj,0,1,0.0
Yash Dayal,0,1,0.0
YA Abdulla,0,1,0.0
KR Sen,0,3,0.0
L Ablish,0,2,0.0
Sunny Gupta,0,1,0.0
JL Denly,0,1,0.0
IC Pandey,0,2,0.0
Mayank Dagar,0,1,0.0
ND Doshi,0,13,0.0
V Pratap Singh,0,1,0.0
R Sanjay Yadav,0,2,0.0
RP Meredith,0,3,0.0
RR Bhatkal,0,2,0.0
C Nanda,0,1,0.0
U Kaul,0,1,0.0
S Kaushik,0,1,0.0
S Ladda,0,10,0.0
S Lamichhane,0,1,0.0
Abdur Razzak,0,2,0.0
SS Cottrell,0,2,0.0
KM Asif,0,2,0.0
